year,newborn,death
1978,1708643,695821
1979,1642580,689664
1980,1576889,722801
1981,1529455,720262
1982,1515392,711883
1983,1508687,740038
1984,1489780,740247
1985,1431577,752283
1986,1382946,750620
1987,1346658,751172
1988,1314006,793014
1989,1246802,788594
1990,1221585,820305
1991,1223245,829797
1992,1208989,856643
1993,1188282,878532
1994,1238328,875933
1995,1187064,922139
1996,1206555,896211
1997,1191665,913402
1998,1203147,936484
1999,1177669,982031
2000,1190547,961653
2001,1170662,970331
2002,1153855,982379
2003,1123610,1014951
2004,1110721,1028602
2005,1062530,1083796
2006,1092674,1084451
2007,1089818,1108334
2008,1091156,1142407
2009,1070036,1141865
2010,1071305,1197014
2011,1050807,1253068
2012,1037232,1256359
2013,1029817,1268438
2014,1003609,1273025
2015,1005721,1290510
2016,977242,1308158
2017,946146,1340567
2018,918400,1362470
2019,865239,1381093
2020,840835,1372755
2021,811622,1439856
2022,770759,1569050